Index	ID
348	Sample429.1_49R03C01
349	Sample442.1_49R04C01
350	Sample416.1_49R02C01
351	Sample430.1_49R08C01
352	Sample492.1_49R01C01
353	Samplec58.1_61R01C01
354	Samplec59.1_61R06C01
355	Samplec36.1_61R08C01
356	Samplec47.1_61R05C01
357	Samplec22.1_61R03C01
358	Samplec23.1_61R07C01
359	Samplec71.1_61R02C01
360	Samplec35.1_61R04C01
361	Sample449.1_50R02C01
362	Sample436.1_50R01C01
363	Sample450.1_50R07C01
364	Sample462.1_50R03C01
365	Sample475.1_50R04C01
366	Sample488.1_50R05C01
367	Sample425.1_50R06C01
368	Sample463.1_50R08C01
369	Sample435.1_73R04C01
370	Sample438.1_73R08C01
371	Sample412.1_73R07C01
372	Sample410.1_73R03C01
373	Sample332.1_73R01C01
374	Sample333.1_73R02C01
375	Sample500.1_73R06C01
376	Sample411.1_73R05C01
377	Sample329.1_74R01C01
378	Sample402.1_74R03C01
380	Sample318.1_74R08C01
381	Sample341.1_74R04C01
382	Sample343.1_74R06C01
383	Sample316.1_74R05C01
384	Sample344.1_74R07C01
385	Sample354.1_82R01C01
386	Sample193.1_62R02C01
387	Sample169.1_62R01C01
388	Sample123.1_62R06C01
389	Sample195.1_62R07C01
390	Sample172.1_62R08C01
391	Sample109.1_62R03C01
392	Sample134.1_62R04C01
393	Sample110.1_62R05C01
394	Sample106.1_63R01C01
395	Sample120.1_63R03C01
396	Sample192.1_63R04C01
397	Sample119.1_63R02C01
398	Sample145.1_63R07C01
399	Sample108.1_63R05C01
400	Sample121.1_63R06C01
401	Sample157.1_63R08C01
402	Samplec11.1_51R03C01
403	Sample596.1_51R01C01
404	Samplec49.1_51R05C01
405	Samplec25.1_51R08C01
406	Samplec12.1_51R07C01
407	Samplec10.1_51R02C01
408	Samplec61.1_51R06C01
409	Samplec37.1_51R04C01
410	Sample346.1_52R02C01
411	Sample383.1_52R05C01
412	Sample422.1_52R08C01
413	Sample319.1_52R01C01
414	Sample409.1_52R07C01
415	Sample358.1_52R03C01
416	Sample395.1_52R06C01
417	Sample370.1_52R04C01
418	Sample499.1_53R07C01
419	Sample448.1_53R01C01
420	Sample424.1_53R08C01
421	Sample487.1_53R06C01
422	Sample474.1_53R05C01
424	Sample461.1_53R04C01
425	Samplec55.1_53R03C01
426	Samplec74.1_64R05C01
427	Samplec46.1_64R08C01
428	Samplec45.1_64R01C01
429	Samplec34.1_64R07C01
430	Samplec57.1_64R04C01
431	Samplec21.1_64R06C01
432	Sample312.1_64R03C01
434	Samplec32.1_65R03C01
435	Samplec56.1_65R05C01
436	Samplec67.1_65R01C01
437	Samplec33.1_65R08C01
438	Samplec44.1_65R04C01
439	Samplec20.1_65R07C01
440	Samplec72.1_65R06C01
441	Samplec19.1_65R02C01
442	Sample452.1_54R01C01
443	Sample478.1_54R03C01
444	Sample453.1_54R07C01
445	Sample428.1_54R05C01
446	Sample441.1_54R06C01
447	Sample491.1_54R04C01
448	Sample466.1_54R08C01
449	Sample465.1_54R02C01
450	Sample415.1_75R08C01
451	Sample501.1_75R01C01
452	Sample503.1_75R07C01
453	Sample477.1_75R03C01
454	Sample427.1_75R06C01
455	Sample451.1_75R02C01
456	Sample502.1_75R04C01
457	Sample414.1_75R05C01
458	Sample521.1_76R07C01
459	Sample552.1_76R03C01
460	Sample599.1_76R01C01
461	Sample538.1_76R02C01
462	Sample583.1_76R08C01
463	Sample576.1_76R04C01
464	Sample529.1_76R05C01
465	Sample555.1_76R06C01
466	Sample476.1_55R01C01
467	Sample489.1_55R02C01
468	Sample413.1_55R03C01
469	Sample440.1_55R08C01
470	Sample464.1_55R06C01
471	Sample439.1_55R05C01
472	Sample426.1_55R04C01
473	Sample490.1_55R07C01
474	Sample574.1_56R01C01
475	Sample598.1_56R03C01
476	Sample537.1_56R06C01
477	Sample525.1_56R05C01
478	Sample586.1_56R02C01
479	Sample551.1_56R07C01
480	Sample513.1_56R04C01
481	Sample563.1_56R08C01
482	Sample384.1_66R04C01
483	Sample336.1_66R08C01
484	Sample309.1_66R07C01
485	Sample335.1_66R06C01
486	Sample241.1_66R01C01
487	Sample277.1_66R02C01
488	Sample396.1_66R05C01
489	Sample306.1_66R03C01
491	Sample299.1_67R07C01
492	Sample247.1_67R01C01
493	Sample223.1_67R02C01
494	Sample236.1_67R03C01
495	Sample225.1_67R05C01
496	Sample286.1_67R06C01
497	Sample285.1_67R04C01
498	Sample227.1_68R01C01
499	Sample301.1_68R03C01
500	Sample239.1_68R02C01
501	Sample228.1_68R05C01
502	Sample215.1_68R04C01
503	Sample240.1_68R06C01
504	Sample276.1_68R08C01
505	Sample264.1_68R07C01
506	Sample361.1_69R01C01
507	Sample323.1_69R02C01
508	Sample311.1_69R07C01
509	Sample399.1_69R06C01
510	Sample402.1_69R08C01
511	Sample362.1_69R04C01
512	Sample337.1_69R03C01
513	Sample375.1_69R05C01
515	Sample273.1_32R03C01
516	Sample262.1_32R08C01
517	Sample261.1_32R02C01
518	Sample213.1_32R05C01
519	Sample298.1_32R04C01
520	Sample250.1_32R07C01
521	Sample238.1_32R06C01
522	Sample150.1_70R01C01
523	Sample127.1_70R03C01
524	Sample292.1_70R08C01
525	Sample205.1_70R07C01
526	Sample186.1_70R02C01
527	Sample230.1_70R06C01
528	Sample139.1_70R04C01
529	Sample142.1_70R05C01
530	Sample514.1_57R03C01
531	Sample526.1_57R04C01
532	Sample515.1_57R08C01
533	Sample575.1_57R01C01
534	Sample587.1_57R02C01
535	Sample588.1_57R06C01
536	Sample564.1_57R05C01
537	Sample600.1_57R07C01
538	Samplec66.1_58R04C01
539	Samplec18.1_58R05C01
540	Samplec31.1_58R06C01
541	Samplec29.1_58R01C01
542	Samplec55.1_58R08C01
543	Samplec42.1_58R02C01
544	Samplec54.1_58R03C01
545	Samplec43.1_58R07C01
546	Sample274.1_33R01C01
547	Sample303.1_33R07C01
548	Sample216.1_33R08C01
549	Sample263.1_33R03C01
550	Sample251.1_33R02C01
551	Sample275.1_33R04C01
552	Sample288.1_33R06C01
553	Sample252.1_33R05C01
554	Samplec38.1_59R01C01
555	Samplec50.1_59R02C01
556	Samplec39.1_59R05C01
557	Samplec63.1_59R06C01
558	Samplec13.1_59R03C01
559	Samplec14.1_59R07C01
560	Samplec26.1_59R04C01
561	Samplec40.1_59R08C01
562	Sample367.1_34R08C01
563	Sample366.1_34R02C01
564	Sample379.1_34R03C01
565	Sample355.1_34R07C01
566	Sample391.1_34R04C01
567	Sample330.1_34R06C01
568	Sample405.1_34R05C01
569	Samplec65.1_60R07C01
570	Samplec53.1_60R06C01
571	Samplec64.1_60R02C01
572	Samplec17.1_60R08C01
573	Samplec52.1_60R01C01
574	Samplec41.1_60R05C01
575	Samplec15.1_60R03C01
576	Samplec28.1_60R04C01
577	Sample479.1_77R01C01
578	Sample443.1_77R06C01
579	Sample506.1_77R07C01
580	Sample505.1_77R04C01
581	Sample418.1_77R08C01
582	Sample417.1_77R05C01
583	Sample454.1_77R03C01
584	Sample504.1_77R02C01
586	Sample392.1_35R02C01
587	Sample406.1_35R03C01
588	Sample381.1_35R08C01
589	Sample368.1_35R07C01
590	Sample356.1_35R06C01
591	Sample317.1_35R04C01
592	Sample331.1_35R05C01
593	Samplec62.1_78R04C01
594	Sample124.1_78R08C01
595	Sample560.1_78R02C01
596	Samplec51.1_78R05C01
597	Samplec27.1_78R06C01
598	Sample171.1_78R07C01
599	Sample584.1_78R03C01
600	Sample522.1_78R01C01
602	Sample407.1_36R02C01
603	Sample357.1_36R04C01
604	Sample345.1_36R03C01
605	Sample369.1_36R05C01
606	Sample394.1_36R07C01
607	Sample408.1_36R08C01
608	Sample382.1_36R06C01
609	Sample486.1_79R07C01
610	Sample431.1_79R01C01
611	Sample585.1_79R08C01
612	Sample446.1_79R05C01
613	Sample445.1_79R03C01
614	Sample420.1_79R04C01
615	Sample444.1_79R02C01
616	Sample485.1_79R06C01
617	Samplec48.1_71R01C01
618	Sample3.1_71R03C01
619	Sample15.1_71R04C01
620	Samplec60.1_71R02C01
621	Sample10.1_71R07C01
622	Sample38.1_71R08C01
623	Sample5.1_71R05C01
624	Sample71.1_71R06C01
625	Sample246.1_72R08C01
626	Sample206.1_72R01C01
627	Sample208.1_72R07C01
628	Sample207.1_72R04C01
629	Sample269.1_72R05C01
630	Sample294.1_72R06C01
631	Sample268.1_72R02C01
632	Sample280.1_72R03C01
633	Sample339.1_80R02C01
634	Sample364.1_80R04C01
635	Sample353.1_80R07C01
636	Sample314.1_80R08C01
637	Sample312.1_80R01C01
638	Sample403.1_80R06C01
639	Sample389.1_80R05C01
640	Sample352.1_80R03C01
641	Sample270.1_81R03C01
642	Samplec24.1_81R08C01
643	Sample221.1_81R02C01
644	Sample287.1_81R07C01
645	Sample222.1_81R04C01
646	Sample114.1_81R01C01
647	Sample248.1_81R05C01
648	Sample272.1_81R06C01
650	Sample113.1_21R01C01
651	Sample717.1_5R08C01
653	Sample716.1_5R04C01
654	Samplec99.1_5R07C01
655	SampleY-54.1_1R08C01
658	Sample692.1_5R03C01
660	Sample727.1_10R08C01
662	Sample753.1_5R06C01
663	SampleY-68.1_27R01C01
664	Sample625.1_4R08C01
665	Sample752.1_5R01C01
666	SampleY-42.1_1R07C01
667	Sample728.1_5R05C01
670	Sample713.1_15R08C01
671	SampleY-41.1_1R05C01
672	SampleY-58.1_3R08C01
673	Sample401.1_28R01C01
674	Samplec134.1_8R08C01
676	Sample749.1_20R01C01
678	Samplec80.1_5R02C01
679	SampleY-40.1_21R03C01
680	Samplec97.1_10R06C01
681	SampleY-27.1_1R01C01
682	Sample636.1_1R02C01
683	Sample740.1_16R01C01
684	SampleY-64.1_21R05C01
685	Sample641.1_1R03C01
686	Sample644.1_1R06C01
687	SampleY-30.1_15R07C01
688	SampleY-51.1_14R07C01
689	Samplec79.1_10R05C01
690	SampleY-28.1_15R04C01
